date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:40	32192/32192	---M--	200	added ('OK')	image/webp	etag:%2267fe7abf-7dc0%22	https://www.blurmint.art/static/web/images/category/utility.webp	C:/webby/opp/blurmint.art/static/web/images/category/utility.webp	(from https://www.blurmint.art/)
11:35:41	104600/104600	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2010:35:42%20GMT	https://www.blurmint.art/category/fashion/	C:/webby/opp/blurmint.art/category/fashion/index.html	(from https://www.blurmint.art/)
11:35:41	274042/274042	---M--	200	added ('OK')	image/webp	etag:%2267fe7abd-42e7a%22	https://www.blurmint.art/static/web/images/category/fashion.webp	C:/webby/opp/blurmint.art/static/web/images/category/fashion.webp	(from https://www.blurmint.art/)
11:35:41	102817/102817	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2010:35:43%20GMT	https://www.blurmint.art/category/utility/	C:/webby/opp/blurmint.art/category/utility/index.html	(from https://www.blurmint.art/)
11:35:41	31774/31774	---M--	200	added ('OK')	image/webp	etag:%2267fe7abd-7c1e%22	https://www.blurmint.art/static/web/images/category/sports.webp	C:/webby/opp/blurmint.art/static/web/images/category/sports.webp	(from https://www.blurmint.art/)
11:35:41	87429/87429	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2010:35:43%20GMT	https://www.blurmint.art/category/sports/	C:/webby/opp/blurmint.art/category/sports/index.html	(from https://www.blurmint.art/)
11:35:42	85883/85883	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2010:35:43%20GMT	https://www.blurmint.art/category/identities/	C:/webby/opp/blurmint.art/category/identities/index.html	(from https://www.blurmint.art/)
11:35:42	29794/29794	---M--	200	added ('OK')	image/webp	etag:%2267fe7abd-7462%22	https://www.blurmint.art/static/web/images/category/tickets.webp	C:/webby/opp/blurmint.art/static/web/images/category/tickets.webp	(from https://www.blurmint.art/)
11:35:42	526164/526164	---M--	200	added ('OK')	image/webp	etag:%2267fe7abe-80754%22	https://www.blurmint.art/static/web/images/category/identities.webp	C:/webby/opp/blurmint.art/static/web/images/category/identities.webp	(from https://www.blurmint.art/)
11:35:42	89270/89270	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2010:35:44%20GMT	https://www.blurmint.art/category/tickets/	C:/webby/opp/blurmint.art/category/tickets/index.html	(from https://www.blurmint.art/)
11:35:43	89282/89282	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2010:35:45%20GMT	https://www.blurmint.art/category/others/	C:/webby/opp/blurmint.art/category/others/index.html	(from https://www.blurmint.art/)
11:35:43	3914150/3914150	---M--	200	added ('OK')	image/webp	etag:%2267fe7abf-3bb9a6%22	https://www.blurmint.art/static/web/images/category/pfps.webp	C:/webby/opp/blurmint.art/static/web/images/category/pfps.webp	(from https://www.blurmint.art/)
11:35:43	20747/20747	---M--	200	added ('OK')	image/jpeg	etag:%2267fe7ac1-510b%22	https://www.blurmint.art/static/web/images/banner/banner-1.jpg	C:/webby/opp/blurmint.art/static/web/images/banner/banner-1.jpg	(from https://www.blurmint.art/)
11:35:43	8387/8387	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2010:35:45%20GMT	https://www.blurmint.art/sign-up/	C:/webby/opp/blurmint.art/sign-up/index.html	(from https://www.blurmint.art/)
11:35:44	117852/117852	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2010:35:45%20GMT	https://www.blurmint.art/item/0x672a20b363829a0b795d86fd/	C:/webby/opp/blurmint.art/item/0x672a20b363829a0b795d86fd/index.html	(from https://www.blurmint.art/)
11:35:44	272117/272117	---M--	200	added ('OK')	image/jpeg	etag:%22c29fd2c2ece2c92144de4e610bb904c3%22	https://res.cloudinary.com/dhwtde7pg/image/upload/v1730814130/nft/ngp3wpahfs84luesyeha.jpg	C:/webby/opp/res.cloudinary.com/dhwtde7pg/image/upload/v1730814130/nft/ngp3wpahfs84luesyeha.jpg	(from https://www.blurmint.art/)
11:35:45	1156584/1156584	---M--	200	added ('OK')	image/webp	etag:%2267fe7abd-11a5e8%22	https://www.blurmint.art/static/web/images/category/others.webp	C:/webby/opp/blurmint.art/static/web/images/category/others.webp	(from https://www.blurmint.art/)
11:35:45	188485/188485	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2010:35:46%20GMT	https://www.blurmint.art/item/0xdc66ec59db40049c6d8b35c2/	C:/webby/opp/blurmint.art/item/0xdc66ec59db40049c6d8b35c2/index.html	(from https://www.blurmint.art/)
11:35:45	196180/196180	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Apr%202025%2018:15:25%20GMT	https://www.blurmint.art/images/nft/839492a3d66f5e9c29d5a609f364de4e.jpg	C:/webby/opp/blurmint.art/images/nft/839492a3d66f5e9c29d5a609f364de4e.jpg	(from https://www.blurmint.art/)
11:35:45	111421/111421	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2010:35:47%20GMT	https://www.blurmint.art/item/0x62cf8fccf97ba832da04f831/	C:/webby/opp/blurmint.art/item/0x62cf8fccf97ba832da04f831/index.html	(from https://www.blurmint.art/)
